Building,Location Region,Location,Location Weather Year,Location Weather Filename,Vintage,Heating Fuel,Usage Level,Geometry Attic Type,Geometry Building Type RECS,Geometry Number Units,Geometry Foundation Type,Geometry Wall Type,Geometry House Size,Geometry Stories,Geometry Garage,Bedrooms,Corridor,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Interior Shading,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Dehumidifier,Refrigerator,Refrigeration Schedule,Cooking Range,Cooking Range Schedule,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Loads,Plug Loads Schedule,Electric Vehicle,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Misc Pool Schedule,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted
1187,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,<1950,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Heated Basement,WoodStud,2500-3499,2+,None,3,None,3,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented",None,None,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7","Clear, Double, Non-metal, Air",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,None,None,68F,73F,Yes,No,3F,0F,None,Day,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,"EF 12, Average Installed",None,None,None,None,None,None,None,National Average,None,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour11,Hour20,None,Day197
1188,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1970s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Heated Basement,Masonry,1500-2499,1,None,4,None,2,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented",None,None,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"CMU, 6-in Hollow, R-7","Summer = 0.7, Winter = 0.7","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 10",Central,68F,73F,Yes,No,3F,0F,None,Night,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage",None,100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,None,None,None,National Average,None,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour17,None,Day82
1189,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1950s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Slab,Masonry,0-1499,1,None,3,None,2,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented",None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated","Summer = 0.7, Winter = 0.7","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,73F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,"EF 12, Average Installed",None,None,None,None,None,None,None,National Average,None,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour4,None,Day78
1190,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,2000s,Electricity,Medium,Finished Attic or Cathedral Ceilings,Single-Family Detached,1,Heated Basement,WoodStud,1500-2499,1,2 Car,3,None,1,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented",None,None,"Asphalt Shingles, Medium",None,None,None,Wall R-5,None,R-30,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,100% Usage,"Uninsulated, HomeRun, PEX",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 13",Central,68F,73F,Yes,Yes,3F,5F,Day Setup,Night,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,None,None,None,National Average,None,In Finished Space,6 ACH50,"Year-Round, 3 days/wk",None,Hour1,Hour8,None,Day261
1191,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1970s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Heated Basement,WoodStud,1500-2499,1,2 Car,3,None,1,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented",None,None,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7","Clear, Double, Non-metal, Air",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 13",Central,68F,73F,Yes,No,3F,0F,None,Night,National Average,None,EF 10.2,National Average,"Gas, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,None,None,None,National Average,None,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour12,None,Day238
1192,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1990s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Unheated Basement,WoodStud,2500-3499,2+,2 Car,4,None,5,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-49, Vented",None,None,"Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,R-19,"Wood Stud, R-15","Summer = 0.7, Winter = 0.7","Clear, Double, Non-metal, Air",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 13",Central,68F,73F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,"EF 12, Average Installed",None,None,None,None,None,None,None,National Average,Typical Efficiency,"30% Leakage, Uninsulated",6 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour18,None,Day1
1193,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1950s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Crawl,WoodStud,3500+,2+,None,4,None,4,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-7, Vented",None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,73F,Yes,No,12F,0F,None,Day and Night,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,Has Pool,None,1.0 HP Pump,National Average,None,"20% Leakage, Uninsulated",8 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour17,None,Day179
1194,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1970s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Unheated Basement,WoodStud,1500-2499,2+,2 Car,3,None,3,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented",None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Summer = 0.7, Winter = 0.7","Clear, Single, Metal",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 10",Central,68F,73F,Yes,Yes,3F,9F,Day and Night Setup,Night,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,"EF 6.9, Average Installed","EF 12, Average Installed",None,None,None,None,None,None,None,National Average,None,"10% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour7,None,Day26
1195,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,<1950,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Heated Basement,WoodStud,2500-3499,2+,None,3,None,1,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented",None,None,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,73F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,"EF 12, Average Installed",None,None,None,None,Has Pool,None,1.0 HP Pump,National Average,None,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour7,None,Day241
1196,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,2000s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Unheated Basement,WoodStud,2500-3499,2+,3 Car,4,None,5,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented",None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,R-30,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,100% Usage,"Uninsulated, HomeRun, PEX",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 10",Central,68F,73F,Yes,No,3F,0F,None,Day and Night,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,Has Pool,None,1.0 HP Pump,National Average,None,"20% Leakage, R-6",5 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour20,None,Day244
1197,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1960s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Heated Basement,Masonry,1500-2499,2+,2 Car,2,None,4,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented",None,None,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated","Summer = 0.7, Winter = 0.7","Clear, Single, Metal",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,None,None,68F,73F,No,Yes,0F,9F,Day and Night Setup,None,National Average,None,EF 15.9,National Average,"Gas, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,"EF 12, Average Installed",None,None,None,None,None,None,None,National Average,None,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour14,Hour18,None,Day210
1198,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1980s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Heated Basement,Masonry,3500+,1,3 Car,4,None,2,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented",None,None,"Asphalt Shingles, Medium",None,None,None,Wall R-10,None,Uninsulated,"CMU, 6-in Hollow, R-11","Summer = 0.7, Winter = 0.7","Clear, Double, Metal, Air",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 13",Central,68F,73F,Yes,Yes,3F,5F,Night Setback,Day and Night,National Average,None,EF 10.2,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,None,None,None,National Average,None,In Finished Space,5 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour14,None,Day198
1199,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1980s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Unheated Basement,Masonry,1500-2499,1,None,4,None,1,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented",None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"CMU, 6-in Hollow, R-11","Summer = 0.7, Winter = 0.7","Clear, Double, Metal, Air",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,None,None,68F,73F,No,Yes,0F,2F,Day and Night Setup,None,National Average,None,EF 10.5,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,"EF 6.9, Average Installed",None,None,None,None,None,None,None,None,National Average,None,"10% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour20,Hour9,None,Day311
1200,CR04,IL_Chicago-OHare.Intl.AP.725300,TMY3,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,<1950,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Heated Basement,WoodStud,3500+,2+,None,4,None,2,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented",None,None,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7","Clear, Single, Non-metal",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,None,None,68F,73F,No,Yes,0F,2F,Night Setback,None,National Average,None,EF 10.2,National Average,"Gas, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage",None,100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,"EF 6.9, Average Installed","EF 12, Average Installed",None,None,None,None,None,None,None,National Average,None,In Finished Space,8 ACH50,"Year-Round, 3 days/wk",None,Hour17,Hour19,None,Day297
1201,CR09,TX_Dallas-Fort.Worth.Intl.AP.722590,TMY3,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1980s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Slab,WoodStud,1500-2499,1,None,3,None,3,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-7, Vented",None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7","Clear, Double, Metal, Air",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 10",Central,69F,75F,Yes,No,6F,0F,None,Day,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,None,None,None,National Average,Typical Efficiency,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour6,None,Day6
1202,CR09,TX_Dallas-Fort.Worth.Intl.AP.722590,TMY3,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1960s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Slab,WoodStud,2500-3499,1,2 Car,3,None,6,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-7, Vented",None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7","Clear, Double, Metal, Air",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,69F,75F,Yes,Yes,3F,2F,Day Setup,Night,National Average,None,EF 10.5,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,"EF 12, Average Installed",Gas Fireplace,None,None,None,None,None,None,National Average,None,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour9,None,Day360
1203,CR09,TX_Dallas-Fort.Worth.Intl.AP.722590,TMY3,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1960s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Slab,WoodStud,0-1499,1,None,2,None,1,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented",None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7","Clear, Double, Metal, Air",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,69F,75F,No,Yes,0F,2F,Night Setup,None,National Average,None,EF 10.2,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,None,None,None,National Average,None,"10% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour17,None,Day69
1204,CR09,TX_Dallas-Fort.Worth.Intl.AP.722590,TMY3,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1960s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Slab,WoodStud,0-1499,1,2 Car,3,None,4,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented",None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7","Clear, Single, Metal",Fiberglass,Gas Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 13",Central,69F,75F,Yes,No,12F,0F,None,Day,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,Has Pool,Electric,1.0 HP Pump,National Average,None,"20% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour7,None,Day265
1205,CR09,TX_Dallas-Fort.Worth.Intl.AP.722590,TMY3,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,<1950,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Slab,WoodStud,0-1499,2+,None,3,None,5,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Uninsulated, Vented",None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7","Clear, Single, Non-metal",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,69F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,"EF 12, Average Installed",None,None,None,None,None,None,None,National Average,None,"30% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour16,Hour20,None,Day193
1206,CR09,TX_Dallas-Fort.Worth.Intl.AP.722590,TMY3,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1970s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Slab,Masonry,2500-3499,1,2 Car,3,None,3,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented",None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7","Summer = 0.7, Winter = 0.7","Clear, Single, Metal",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,None,None,69F,75F,Yes,Yes,3F,5F,Day and Night Setup,Night,National Average,None,EF 10.5,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage",None,100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,None,None,None,National Average,None,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour9,None,Day27
1207,CR09,TX_Dallas-Fort.Worth.Intl.AP.722590,TMY3,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,2000s,Electricity,Medium,Finished Attic or Cathedral Ceilings,Single-Family Detached,1,Slab,Masonry,0-1499,1,None,1,None,2,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented",None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"CMU, 6-in Hollow, R-11","Summer = 0.7, Winter = 0.7","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,100% Usage,"Uninsulated, HomeRun, PEX",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 13",Central,69F,75F,No,Yes,0F,2F,Day and Night Setup,None,National Average,None,EF 10.5,National Average,"Gas, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,None,None,None,National Average,None,"20% Leakage, R-8",10 ACH50,"Year-Round, 3 days/wk",None,Hour1,Hour17,None,Day70
1208,CR09,TX_Dallas-Fort.Worth.Intl.AP.722590,TMY3,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1980s,Electricity,Medium,Unfinished Attic,Single-Family Detached,1,Slab,Masonry,0-1499,1,None,3,None,1,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented",None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"CMU, 6-in Hollow, R-11","Summer = 0.7, Winter = 0.7","Clear, Double, Metal, Air",Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,No,None,Electric Baseboard,None,None,None,None,None,"AC, SEER 10",Central,69F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Propane, 100% Usage",National Average,"290 Rated kWh, 100% Usage",Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,None,None,None,None,None,None,None,None,None,National Average,None,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour17,Hour8,None,Day311
